model_id,dataset,clinical_endpoint,adjustment_tier,covariates,n_obs,n_events,odds_ratio,ci_low,ci_high,p_value,c_statistic,delta_c_statistic,wald_chi2
conv15e_A0_zscore_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,50.60829215575806,36.794766768992595,69.60770402493533,1.2490980881583453e-128,0.8925127365356623,0.2749764359176271,582.1951312632896
conv15e_A0_zscore_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,53.36545680171964,28.607627223700373,99.54939490042177,7.226208324164936e-36,0.9047231833910033,0.30141003460207594,156.31464786218723
conv15e_A0_zscore_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,54.15563931960475,28.96792461994376,101.24416258995406,7.008626518366717e-36,0.9065224913494809,0.2987975778546712,156.37540946796327
conv15e_A0_zscore_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,4.882154882154891,3.922458377712916,6.0766575443552995,9.267647544964532e-46,0.6457003854173248,0.14570038541732477,201.61701705216453
conv15e_A0_zscore_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,4.826560747889681,3.8614374343328155,6.032905893008326,1.6902890531151243e-43,0.7444331115905009,0.059571008854669594,191.2569943010706
conv15e_A0_zscore_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,7.94052053157506,5.076896613296323,12.419371737299732,1.0904804907174051e-19,0.8081783651741715,0.11288318436621902,82.43780430307483
conv15e_A0_zscore_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,7.9258537582814395,5.059251144894403,12.416690928865755,1.5894091558187554e-19,0.8112706683045987,0.11086400926278905,81.69318127454862
conv15e_A0_zscore_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.413340623291424,5.579903424735255,7.371263410766206,6.61991187955672e-151,0.6654397914666602,0.1654397914666602,684.6171806910049
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,836.6749226006204,454.4165532268622,1540.4916945428147,1.5261285222399865e-103,0.9624336775163995,0.4624336775163995,466.885133878216
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,811.1259475947791,433.95070116062936,1516.129138867305,8.142592839875205e-98,0.9797087892602547,0.2385065298843072,440.5682986050261
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,578.1481973206569,212.33216483558536,1574.209627278789,1.500430793670299e-35,0.9552896927016645,0.2943581946222791,154.8626183499695
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,10.682371560749951,8.273553730838033,13.792508742233158,9.275017359388987e-74,0.7372246879996183,0.23722468799961827,330.07104011400446
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,10.697756557659272,8.27460843079586,13.830502835761958,4.1043590086722863e-73,0.7897010046054358,0.17216470398740058,327.10539109511234
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,10.556242775017333,6.51124071077382,17.114136379679685,1.1800503401407883e-21,0.7920501730103806,0.18873702422145322,91.38943143496734
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,10.860187371819512,6.696491331395167,17.61275628000481,4.1125112071935623e-22,0.7964273356401383,0.18870242214532862,93.47554205415919
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,3.7203519166891166,2.991431861270241,4.626887399044792,3.518355161342161e-32,0.6196610223036583,0.11966102230365827,139.44610389347554
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,3.6655409690399514,2.9329280272331513,4.581152510716638,3.387776900611188e-30,0.7242511666320665,0.0393890638962352,130.3776830706192
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,6.47050442009906,4.164602462728641,10.0531630150096,9.913704497982727e-17,0.7962045156097767,0.10090933480182418,68.98655387031214
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,6.45015271697595,4.149115458668981,10.027310757377373,1.2215744996726049e-16,0.7993956594795328,0.09898900043772318,68.57476306633735
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,4.8227044952100275,4.219571685513849,5.51204728384337,7.079442120783179e-118,0.6432702813476672,0.14327028134766717,532.7622971075248
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,5685.2000000000835,1961.3282316165664,16479.3931576465,4.4243018323780726e-57,0.9869102502822508,0.48691025028225077,253.52561562300403
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,6362.942956302673,1843.0887086904852,21966.953014392813,1.1979582696227493e-43,0.9925466977099577,0.2513444383340102,191.9420171664469
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,4450.344174252612,772.7206436749848,25630.948818852346,5.231636515730094e-21,0.983898847631242,0.3229673495518566,88.44317544186048
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,56.4021029330378,40.99414733209591,77.60125340571015,1.8628665135499918e-135,0.8732655045696424,0.37326550456964236,613.5796031340896
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,55.94823334559778,40.56853972189234,77.15842956024073,5.5784957254447064e-133,0.8978683453838261,0.2803320447657909,602.1943260127977
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,54.86698088308453,29.409427987103918,102.36124254252147,2.4684775211047006e-36,0.9058996539792388,0.3025865051903114,158.4494759643774
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,55.70323091566327,29.79113397248212,104.15346852220482,2.3914596985432428e-36,0.9074567474048443,0.29973183391003455,158.5124785701396
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,5.492495112532907,4.403685826300213,6.8505119918019455,1.3709887830148187e-51,0.6568601124660391,0.15686011246603915,228.34152499404897
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,5.445676605006257,4.349244654478245,6.818515867066134,2.104277383073553e-49,0.754272197600845,0.0694100948650137,218.31879748706973
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,10.264450159361148,6.482858555429347,16.251925932545877,3.0066099231678813e-23,0.8283983564197062,0.13310317561175367,98.65430034244747
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,10.258453203078899,6.467466593990525,16.27157413036247,4.53607805845842e-23,0.8313635785995679,0.13095691955775823,97.83992944745923
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.413340623291424,5.579903424735255,7.371263410766206,6.61991187955672e-151,0.6654397914666602,0.1654397914666602,684.6171806910049
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,4356.55384615378,1656.8945895954748,11454.899746562092,9.938894980824196e-65,0.9850274369925698,0.4850274369925698,288.6195876626344
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,4723.859901710637,1602.355884331491,13926.277295321002,4.282547373269472e-53,0.992151803748837,0.2509495443728895,235.24430327464302
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,2811.811066308208,665.606607427729,11878.309776952985,3.340924068086838e-27,0.9800416133162613,0.3191101152368758,116.6991327537476
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,110,4424.393330278012,684.7779981176575,28586.281093752594,1.157375002102043e-18,0.9842189500640205,0.30561779769526254,77.77047166809744
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,84.34588235294076,59.945573625521654,118.67811815995805,6.282890654092304e-143,0.8962121483284415,0.39621214832844154,647.9352279088313
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,83.6967366069682,59.33834436819212,118.05424962970935,1.9340402540982396e-140,0.9180961712840336,0.30055987066599843,636.4939160854685
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,60.40458671499184,32.18119914724456,113.38030256468488,2.5616327384780808e-37,0.9090657439446366,0.3057525951557092,162.95287280114295
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,61.65241982864041,32.728034064630364,116.13960261776758,2.884190726258417e-37,0.9111418685121108,0.30341695501730104,162.71710442564813
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,5.21162779785087,4.180472955375946,6.4971271416559935,9.085839924841482e-49,0.6519002337777215,0.15190023377772155,215.4066152370465
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,5.1491774261024865,4.11392363944443,6.44494902901602,1.88285392123204e-46,0.7498787108828495,0.06501660814701826,204.78903844203603
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,8.98382651272107,5.700145772495273,14.159135929490294,3.121293830052306e-21,0.8166786687564423,0.12138348794848985,89.46488736782955
conv15e_R7_morlet_mag_ueg_real_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,8.97803880272825,5.685928373114105,14.176256796416123,4.621516762902428e-21,0.8197286115700145,0.11932195252820488,88.68846748502486
conv15e_R7_morlet_mag_ueg_real_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.511338557492394,5.663248992604436,7.486432234509469,1.3011902200468268e-152,0.6665670546930497,0.16656705469304967,692.4645917796989
conv15e_del_wave_ce_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,5685.2000000000835,1961.3282316165664,16479.3931576465,4.4243018323780726e-57,0.9869102502822508,0.48691025028225077,253.52561562300403
conv15e_del_wave_ce_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,6362.942956302673,1843.0887086904852,21966.953014392813,1.1979582696227493e-43,0.9925466977099577,0.2513444383340102,191.9420171664469
conv15e_del_wave_ce_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,4450.344174252612,772.7206436749848,25630.948818852346,5.231636515730094e-21,0.983898847631242,0.3229673495518566,88.44317544186048
conv15e_del_wave_ce_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,70.39092004821218,50.754408898344835,97.62465434594753,2.34278583557895e-143,0.8863778724318133,0.3863778724318133,649.9051802935703
conv15e_del_wave_ce_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,69.92957993722682,50.30817473552921,97.20380784841757,5.367145031677644e-141,0.9095929677619491,0.2920566671439139,639.0537152976787
conv15e_del_wave_ce_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,56.093469636216255,30.039370219279668,104.74511658735327,1.2928594275991177e-36,0.9068685121107266,0.3035553633217992,159.73498456974522
conv15e_del_wave_ce_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,57.046298183691064,30.4670489224923,106.81310634126174,1.3246400918790558e-36,0.9081487889273356,0.3004238754325259,159.68671429784388
conv15e_del_wave_ce_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,5.21162779785087,4.180472955375946,6.4971271416559935,9.085839924841482e-49,0.6519002337777215,0.15190023377772155,215.4066152370465
conv15e_del_wave_ce_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,5.1491774261024865,4.11392363944443,6.44494902901602,1.88285392123204e-46,0.7498787108828495,0.06501660814701826,204.78903844203603
conv15e_del_wave_ce_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,8.98382651272107,5.700145772495273,14.159135929490294,3.121293830052306e-21,0.8166786687564423,0.12138348794848985,89.46488736782955
conv15e_del_wave_ce_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,8.97803880272825,5.685928373114105,14.176256796416123,4.621516762902428e-21,0.8197286115700145,0.11932195252820488,88.68846748502486
conv15e_del_wave_ce_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.161336042159389,5.365337586983836,7.075428378730029,2.3276187636360667e-146,0.6624337561962882,0.1624337561962882,663.7127214462489
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,5685.2000000000835,1961.3282316165664,16479.3931576465,4.4243018323780726e-57,0.9869102502822508,0.48691025028225077,253.52561562300403
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,6362.942956302673,1843.0887086904852,21966.953014392813,1.1979582696227493e-43,0.9925466977099577,0.2513444383340102,191.9420171664469
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,4450.344174252612,772.7206436749848,25630.948818852346,5.231636515730094e-21,0.983898847631242,0.3229673495518566,88.44317544186048
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,57.924365942029425,42.0228804712401,79.84298392116203,1.130900257309293e-135,0.8749045505524137,0.3749045505524137,614.576190345125
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,57.45747791282718,41.58216551547744,79.39369504154881,3.9412431050857605e-133,0.8988616161977713,0.28132531557973606,602.8880244634291
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,54.86698088308453,29.409427987103918,102.36124254252147,2.4684775211047006e-36,0.9058996539792388,0.3025865051903114,158.4494759643774
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,55.70323091566327,29.79113397248212,104.15346852220482,2.3914596985432428e-36,0.9074567474048443,0.29973183391003455,158.5124785701396
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,5.280353200882995,4.234914955538821,6.583870093922054,1.904027726916777e-49,0.653140203449801,0.15314020344980095,218.51789535227587
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,5.213470468144334,4.164764376630801,6.526245392110591,4.432100211577475e-47,0.7521245340241359,0.06726243128830467,207.66820978382137
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,8.98382651272107,5.700145772495273,14.159135929490294,3.121293830052306e-21,0.8166786687564423,0.12138348794848985,89.46488736782955
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,8.97803880272825,5.685928373114105,14.176256796416123,4.621516762902428e-21,0.8197286115700145,0.11932195252820488,88.68846748502486
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.413340623291424,5.579903424735255,7.371263410766206,6.61991187955672e-151,0.6654397914666602,0.1654397914666602,684.6171806910049
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,5685.2000000000835,1961.3282316165664,16479.3931576465,4.4243018323780726e-57,0.9869102502822508,0.48691025028225077,253.52561562300403
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,6362.942956302673,1843.0887086904852,21966.953014392813,1.1979582696227493e-43,0.9925466977099577,0.2513444383340102,191.9420171664469
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,4450.344174252612,772.7206436749848,25630.948818852346,5.231636515730094e-21,0.983898847631242,0.3229673495518566,88.44317544186048
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,84.34588235294076,59.945573625521654,118.67811815995805,6.282890654092304e-143,0.8962121483284415,0.39621214832844154,647.9352279088313
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,83.6967366069682,59.33834436819212,118.05424962970935,1.9340402540982396e-140,0.9180961712840336,0.30055987066599843,636.4939160854685
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,60.40458671499184,32.18119914724456,113.38030256468488,2.5616327384780808e-37,0.9090657439446366,0.3057525951557092,162.95287280114295
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,61.65241982864041,32.728034064630364,116.13960261776758,2.884190726258417e-37,0.9111418685121108,0.30341695501730104,162.71710442564813
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,5.21162779785087,4.180472955375946,6.4971271416559935,9.085839924841482e-49,0.6519002337777215,0.15190023377772155,215.4066152370465
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,5.1491774261024865,4.11392363944443,6.44494902901602,1.88285392123204e-46,0.7498787108828495,0.06501660814701826,204.78903844203603
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,8.98382651272107,5.700145772495273,14.159135929490294,3.121293830052306e-21,0.8166786687564423,0.12138348794848985,89.46488736782955
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,8.97803880272825,5.685928373114105,14.176256796416123,4.621516762902428e-21,0.8197286115700145,0.11932195252820488,88.68846748502486
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.130755273800414,5.339276296756805,7.039560820267394,8.599617654073758e-146,0.6620580017874919,0.16205800178749186,661.1029055607802
