Model,Endpoint,Analysis_Type,Adjusted_Estimate,Contrast_vs_Ref,P_Value,CI_95
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.70 ± 0.07,-1.70 ms,< 0.001,"[-1.85, -1.55]"
factorial_ecg_aim_1100013_s42,QRS Duration Error (ms),MMRM (REML),0.70 ± 0.07,+0.70 ms,< 0.001,"[+0.55, +0.84]"
factorial_ecg_aim_1100110_s42,QRS Duration Error (ms),MMRM (REML),0.69 ± 0.07,+0.69 ms,< 0.001,"[+0.54, +0.83]"
factorial_ecg_aim_1100111_s42,QRS Duration Error (ms),MMRM (REML),-0.45 ± 0.07,-0.45 ms,< 0.001,"[-0.60, -0.31]"
factorial_ecg_aim_1101113_s42,QRS Duration Error (ms),MMRM (REML),22.37 ± 0.07,+22.37 ms,< 0.001,"[+22.22, +22.52]"
spatial_1lead_a0_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.13 ± 0.07,-2.13 ms,< 0.001,"[-2.28, -1.99]"
spatial_1lead_a0_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.49 ± 0.07,-1.49 ms,< 0.001,"[-1.64, -1.34]"
spatial_1lead_b1_panorama_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),0.54 ± 0.07,+0.54 ms,< 0.001,"[+0.39, +0.68]"
spatial_1lead_b1_panorama_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.12 ± 0.07,-2.12 ms,< 0.001,"[-2.26, -1.97]"
spatial_1lead_b1_panorama_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.72 ± 0.07,-1.72 ms,< 0.001,"[-1.86, -1.57]"
spatial_1lead_c1_panorama_hybrid_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),3.06 ± 0.07,+3.06 ms,< 0.001,"[+2.92, +3.21]"
spatial_1lead_c1_panorama_hybrid_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.05 ± 0.07,-2.05 ms,< 0.001,"[-2.19, -1.90]"
spatial_1lead_c1_panorama_hybrid_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.41 ± 0.07,-1.41 ms,< 0.001,"[-1.56, -1.27]"
spatial_1lead_cm1_capacity_matched_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),0.71 ± 0.07,+0.71 ms,< 0.001,"[+0.56, +0.86]"
spatial_1lead_cm1_capacity_matched_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.30 ± 0.07,-2.30 ms,< 0.001,"[-2.45, -2.15]"
spatial_1lead_cm1_capacity_matched_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.44 ± 0.07,-1.44 ms,< 0.001,"[-1.59, -1.29]"
spatial_1lead_d1_panorama_relative_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),0.57 ± 0.07,+0.57 ms,< 0.001,"[+0.42, +0.71]"
spatial_1lead_d1_panorama_relative_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.12 ± 0.07,-2.12 ms,< 0.001,"[-2.26, -1.97]"
spatial_1lead_d1_panorama_relative_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.63 ± 0.07,-1.63 ms,< 0.001,"[-1.78, -1.49]"
spatial_1lead_e1_panorama_film_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),0.15 ± 0.07,+0.15 ms,0.0490,"[+0.00, +0.29]"
spatial_1lead_e1_panorama_film_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.88 ± 0.07,-1.88 ms,< 0.001,"[-2.03, -1.74]"
spatial_1lead_e1_panorama_film_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.42 ± 0.07,-1.42 ms,< 0.001,"[-1.57, -1.28]"
spatial_1lead_pa1_panorama_author_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),0.66 ± 0.07,+0.66 ms,< 0.001,"[+0.51, +0.80]"
spatial_1lead_pa1_panorama_author_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.37 ± 0.07,-2.37 ms,< 0.001,"[-2.52, -2.22]"
spatial_1lead_pa1_panorama_author_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.30 ± 0.07,-1.30 ms,< 0.001,"[-1.45, -1.16]"
spatial_1lead_pg1_permuted_geometry_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),-0.20 ± 0.07,-0.20 ms,0.0086,"[-0.34, -0.05]"
spatial_1lead_pg1_permuted_geometry_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.70 ± 0.07,-1.71 ms,< 0.001,"[-1.85, -1.56]"
spatial_1lead_pg1_permuted_geometry_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.42 ± 0.07,-1.42 ms,< 0.001,"[-1.57, -1.28]"
spatial_1lead_t000_exact_theta_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.78 ± 0.07,-1.78 ms,< 0.001,"[-1.93, -1.64]"
spatial_1lead_t000_exact_theta_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.15 ± 0.07,-2.15 ms,< 0.001,"[-2.30, -2.01]"
spatial_1lead_t000_exact_theta_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.44 ± 0.07,-1.44 ms,< 0.001,"[-1.59, -1.29]"
spatial_1lead_t111_exact_theta_1000000_s42_l0,QRS Duration Error (ms),MMRM (REML),1.83 ± 0.07,+1.83 ms,< 0.001,"[+1.68, +1.97]"
spatial_1lead_t111_exact_theta_1010010_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.73 ± 0.07,-1.73 ms,< 0.001,"[-1.88, -1.58]"
spatial_1lead_t111_exact_theta_1110000_s42_l0,QRS Duration Error (ms),MMRM (REML),-0.32 ± 0.07,-0.32 ms,< 0.001,"[-0.47, -0.17]"
D1_theta_mul_currentloss_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.00,1.00x odds,-,1.00 (Reference)
D2_current_id_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.39,1.39x odds,0.0156,"[1.06, 1.81]"
D3_theta_mul_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.07,1.07x odds,0.5726,"[0.84, 1.38]"
D4_learned12_mul_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.07,1.07x odds,0.5758,"[0.84, 1.38]"
D5_permuted_theta_mul_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.25,1.25x odds,0.0943,"[0.96, 1.61]"
D6_theta_add_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.36,1.36x odds,0.0235,"[1.04, 1.77]"
D7_learned12_add_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.02,1.02x odds,0.9012,"[0.80, 1.30]"
D8_random12_mul_l1_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 0.97,0.97x odds,0.8055,"[0.76, 1.23]"
conv15e_A0_wave_noSSL_gated_add_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.46,1.46x odds,0.0056,"[1.12, 1.91]"
conv15e_A0_zscore_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.51,1.51x odds,0.0034,"[1.15, 1.99]"
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.33,1.33x odds,0.0312,"[1.03, 1.73]"
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.40,1.40x odds,0.0138,"[1.07, 1.83]"
conv15e_R7_morlet_mag_ueg_real_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.58,1.58x odds,0.0012,"[1.20, 2.09]"
conv15e_del_wave_ce_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.62,1.62x odds,< 0.001,"[1.23, 2.13]"
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 2.15,2.15x odds,< 0.001,"[1.60, 2.89]"
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 2.05,2.05x odds,< 0.001,"[1.53, 2.74]"
factorial_ecg_aim_1100013_s42,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.23,1.23x odds,0.1084,"[0.95, 1.60]"
factorial_ecg_aim_1100110_s42,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.13,1.13x odds,0.3371,"[0.88, 1.45]"
factorial_ecg_aim_1100111_s42,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.17,1.17x odds,0.2212,"[0.91, 1.50]"
factorial_ecg_aim_1101113_s42,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.28,1.28x odds,0.0602,"[0.99, 1.66]"
spatial_1lead_a0_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.16,1.16x odds,0.2619,"[0.90, 1.50]"
spatial_1lead_a0_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.56,1.56x odds,0.0015,"[1.19, 2.06]"
spatial_1lead_b1_panorama_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.58,1.58x odds,0.0011,"[1.20, 2.08]"
spatial_1lead_b1_panorama_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.16,1.16x odds,0.2568,"[0.90, 1.49]"
spatial_1lead_b1_panorama_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.07,1.07x odds,0.6153,"[0.83, 1.36]"
spatial_1lead_c1_panorama_hybrid_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.31,1.31x odds,0.0430,"[1.01, 1.69]"
spatial_1lead_c1_panorama_hybrid_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.23,1.23x odds,0.1084,"[0.95, 1.60]"
spatial_1lead_c1_panorama_hybrid_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.35,1.35x odds,0.0257,"[1.04, 1.75]"
spatial_1lead_cm1_capacity_matched_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.33,1.33x odds,0.0303,"[1.03, 1.73]"
spatial_1lead_cm1_capacity_matched_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.21,1.21x odds,0.1480,"[0.93, 1.57]"
spatial_1lead_cm1_capacity_matched_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.23,1.23x odds,0.1127,"[0.95, 1.60]"
spatial_1lead_d1_panorama_relative_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.48,1.48x odds,0.0048,"[1.13, 1.94]"
spatial_1lead_d1_panorama_relative_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.07,1.07x odds,0.6168,"[0.83, 1.36]"
spatial_1lead_d1_panorama_relative_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.33,1.33x odds,0.0351,"[1.02, 1.74]"
spatial_1lead_e1_panorama_film_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.06,1.06x odds,0.6646,"[0.82, 1.36]"
spatial_1lead_e1_panorama_film_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.51,1.51x odds,0.0029,"[1.15, 1.98]"
spatial_1lead_e1_panorama_film_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.15,1.15x odds,0.2706,"[0.90, 1.47]"
spatial_1lead_pa1_panorama_author_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.68,1.68x odds,< 0.001,"[1.27, 2.21]"
spatial_1lead_pa1_panorama_author_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.27,1.27x odds,0.0751,"[0.98, 1.65]"
spatial_1lead_pa1_panorama_author_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.25,1.25x odds,0.0891,"[0.97, 1.60]"
spatial_1lead_pg1_permuted_geometry_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.09,1.09x odds,0.4835,"[0.85, 1.40]"
spatial_1lead_pg1_permuted_geometry_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.37,1.37x odds,0.0172,"[1.06, 1.78]"
spatial_1lead_pg1_permuted_geometry_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.19,1.19x odds,0.1720,"[0.93, 1.53]"
spatial_1lead_t000_exact_theta_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.31,1.31x odds,0.0436,"[1.01, 1.69]"
spatial_1lead_t000_exact_theta_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.07,1.07x odds,0.5800,"[0.83, 1.38]"
spatial_1lead_t000_exact_theta_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.28,1.28x odds,0.0602,"[0.99, 1.66]"
spatial_1lead_t111_exact_theta_1000000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 0.96,0.96x odds,0.7087,"[0.75, 1.21]"
spatial_1lead_t111_exact_theta_1010010_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.42,1.42x odds,0.0112,"[1.08, 1.85]"
spatial_1lead_t111_exact_theta_1110000_s42_l0,Arrhythmia Concordance (AF/AFL),GEE (Exchangeable),aOR = 1.03,1.03x odds,0.8039,"[0.81, 1.32]"
D1_theta_mul_currentloss_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.00,1.00x odds,-,1.00 (Reference)
D2_current_id_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.07,1.07x odds,0.3669,"[0.92, 1.26]"
D3_theta_mul_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.27,1.27x odds,0.0038,"[1.08, 1.48]"
D4_learned12_mul_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.01,1.01x odds,0.9354,"[0.86, 1.18]"
D5_permuted_theta_mul_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.49,1.49x odds,< 0.001,"[1.26, 1.76]"
D6_theta_add_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.16,1.16x odds,0.0710,"[0.99, 1.35]"
D7_learned12_add_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.22,1.22x odds,0.0154,"[1.04, 1.43]"
D8_random12_mul_l1_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.26,1.26x odds,0.0063,"[1.07, 1.48]"
conv15e_A0_wave_noSSL_gated_add_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 2.05,2.05x odds,< 0.001,"[1.71, 2.47]"
conv15e_A0_zscore_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.35,1.35x odds,< 0.001,"[1.14, 1.59]"
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.70,0.70x odds,< 0.001,"[0.60, 0.81]"
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.61,1.61x odds,< 0.001,"[1.36, 1.91]"
conv15e_R7_morlet_mag_ueg_real_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.92,1.92x odds,< 0.001,"[1.60, 2.29]"
conv15e_del_wave_ce_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.61,1.61x odds,< 0.001,"[1.36, 1.91]"
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.80,1.80x odds,< 0.001,"[1.52, 2.15]"
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.76,1.76x odds,< 0.001,"[1.49, 2.09]"
factorial_ecg_aim_1100013_s42,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.89,0.89x odds,0.1335,"[0.76, 1.04]"
factorial_ecg_aim_1100110_s42,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.66,0.66x odds,< 0.001,"[0.57, 0.76]"
factorial_ecg_aim_1100111_s42,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.21,1.21x odds,0.0192,"[1.03, 1.42]"
factorial_ecg_aim_1101113_s42,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.30,0.30x odds,< 0.001,"[0.26, 0.34]"
spatial_1lead_a0_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.18,1.18x odds,0.0469,"[1.00, 1.38]"
spatial_1lead_a0_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.25,1.25x odds,0.0075,"[1.06, 1.46]"
spatial_1lead_b1_panorama_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.88,0.88x odds,0.1051,"[0.76, 1.03]"
spatial_1lead_b1_panorama_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.13,1.13x odds,0.1288,"[0.96, 1.33]"
spatial_1lead_b1_panorama_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.21,1.21x odds,0.0167,"[1.04, 1.41]"
spatial_1lead_c1_panorama_hybrid_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.58,0.58x odds,< 0.001,"[0.50, 0.67]"
spatial_1lead_c1_panorama_hybrid_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.01,1.01x odds,0.8707,"[0.87, 1.18]"
spatial_1lead_c1_panorama_hybrid_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.89,0.89x odds,0.1546,"[0.77, 1.04]"
spatial_1lead_cm1_capacity_matched_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.61,0.61x odds,< 0.001,"[0.53, 0.70]"
spatial_1lead_cm1_capacity_matched_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.14,1.14x odds,0.0913,"[0.98, 1.33]"
spatial_1lead_cm1_capacity_matched_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.93,0.93x odds,0.3778,"[0.80, 1.09]"
spatial_1lead_d1_panorama_relative_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.84,0.84x odds,0.0200,"[0.72, 0.97]"
spatial_1lead_d1_panorama_relative_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.04,1.04x odds,0.5980,"[0.89, 1.22]"
spatial_1lead_d1_panorama_relative_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.04,1.04x odds,0.6579,"[0.89, 1.21]"
spatial_1lead_e1_panorama_film_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.83,0.83x odds,0.0143,"[0.71, 0.96]"
spatial_1lead_e1_panorama_film_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.06,1.06x odds,0.4353,"[0.91, 1.24]"
spatial_1lead_e1_panorama_film_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.91,0.91x odds,0.2121,"[0.78, 1.06]"
spatial_1lead_pa1_panorama_author_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.84,0.84x odds,0.0189,"[0.72, 0.97]"
spatial_1lead_pa1_panorama_author_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.29,1.29x odds,0.0017,"[1.10, 1.52]"
spatial_1lead_pa1_panorama_author_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.84,0.84x odds,0.0206,"[0.72, 0.97]"
spatial_1lead_pg1_permuted_geometry_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.65,0.65x odds,< 0.001,"[0.56, 0.75]"
spatial_1lead_pg1_permuted_geometry_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.91,0.91x odds,0.2298,"[0.79, 1.06]"
spatial_1lead_pg1_permuted_geometry_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.05,1.05x odds,0.5634,"[0.90, 1.22]"
spatial_1lead_t000_exact_theta_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.87,0.87x odds,0.0695,"[0.75, 1.01]"
spatial_1lead_t000_exact_theta_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 1.34,1.34x odds,< 0.001,"[1.14, 1.58]"
spatial_1lead_t000_exact_theta_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.99,0.99x odds,0.9362,"[0.85, 1.16]"
spatial_1lead_t111_exact_theta_1000000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.71,0.71x odds,< 0.001,"[0.61, 0.82]"
spatial_1lead_t111_exact_theta_1010010_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.97,0.97x odds,0.7436,"[0.84, 1.14]"
spatial_1lead_t111_exact_theta_1110000_s42_l0,Conduction Delay Concordance (QRS > 120ms),GEE (Exchangeable),aOR = 0.81,0.81x odds,0.0064,"[0.69, 0.94]"
