statement,occurences,proposed label
 sinusrhythmus schwierig bestimmbare qrs - achse ,4,
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer myokardschaden nicht auszuschliessen qt - verlängerung cordichin xxxx jetzt konstant sinusrhythmus g novodigal xxxx 1x1 tensobon xxxx mg ( chnidinspiegel xxxx ( xxxx ) digoxinspiegel xxxx ( xxxx ) 2x unter ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block ,15,
 sinusrhythmus unvollständiger rechtsschenkelblock sonst normales ecg ,16,
 sinusrhythmus unspezifisches abnormales t ,33,
 sinusrhythmus rechtstyp unspezifische intraventrikuläre leitungsstörung ,1,
 sinusrhythmus p - verbreiterung linkstyp t abnormal wahrscheinlich inferiorer myokardschaden ,1,
 sinusrhythmus unvollständiger rechtsschenkelblock mässige amplitudenkriterien f#r linkshypertrophie ,1,
 sinusrhythmus qrs ( t ) abnormal anterolateraler infarkt möglich ,1,
 sinusrhythmus qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen ,2,
 sinusrhythmus r - s #bergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock sonst normales ecg ,2,
 sinusbradykardie unspezifisches abnormales t ,1,
 sinusrhythmus normales ecg ergo xxxx watt ob insbes kein neg t über der brustwand ,1,
 sinusrhythmus rechtstyp qrs ( t ) abnormal septaler infarkt nicht auszuschliessen ,2,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnormal anterolateraler infarkt möglich ,1,
 sinus arrhythmie linkstyp sonst normales ecg ,10,
 sinusrhythmus unvollständiger rechtsschenkelblock ,1,
 sinusrhythmus unvollständiger rechtsschenkelblock t abnormal wahrscheinlich inferiorer myokardschaden edit injin irbbb ( m xxxx ) ( irbbb ndt ) ,1,
 sinusrhythmus unspezifische intraventrikuläre leitungsstörung linkshypertrophie ,2,
 sinus arrhythmie verdacht auf p - sinistrocardiale ,1,
 sinusrytm normalt ecg ,77,
 sinusrytm av block i st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ,1,
 sinustachykardie ueberdrehter linkstyp periphere niederspannung qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,2,
 sinusrhythmus qrs ( t ) abnormal ,2,
 sinusrhythmus mässige amplitudenkriterien f#r linkshypertrophie qrs ( t ) abnormal anterolateraler infarkt möglich ,1,
 sinustachykardie sonst normales ecg ,5,
 supraventrikuläre extrasystole ( n ) sinusrhythmus sonst normales ecg ,11,
 ventrikuläre extrasystole ( n ) interponierte ventrikuläre extrasystole ( n ) sinus arrhythmie unspezifisches abnormales t ,1,
 sinusrhythmus qrs ( t ) abnormal septaler infarkt nicht auszuschliessen ,6,
 sinusrytm vänster el - axel inget säkert patologikst ,1,
 sinustachykardi t - förändring såsom vid anterolateral myokardaffektion ischemiförändringar som inte fanns på ecg xxxx ,1,
 sinusrytm vänster kammarhypertrofi ,4,
 sinusrytm ospecifikt skänkelblock avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,1,
 sinusrytm svårbestämmbar el - axel ,1,
 sinusrytm vänster el - axel inget säkert patologiskt ,3,
 sinus arytmi avvikande qrs ( t ) förlopp hög lateral myokardskada bör övervägas ,1,
 förmaksflimmer - fladder höger el - axel låga qrs amplituder i extremitetsavledningarna måttliga amplitudkrit för vänster kammarkhypertrofi avvikande qrs ( t ) förlopp hög lateral infarkt bör övervägas t - förändring såsom vid inferior myokardaffektion ,1,
 sinusrhythmus qrs ( t ) abnormal inferiorer myokardschaden möglich ,10,
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer infarkt möglich ,10,
 sinusrytm avvikande qrs ( t ) förlopp inferior myokardskada bör övervägas ,4,
 sinusrytm extrem vänster el - axel såsom vid vänster främre fascicular block oförändrat jmf med ecg xxxx ,1,
 sinusrytm vänster el - axel normalt ecg ,8,
 sinusrytm vänster el - axel t - förändring såsom vid hög lateral myokardaffektion ,3,
 sinusrytm vänster el - axel låga qrs amplituder i extremitetsavledningarna avvikande qrs ( t ) förlopp inferior infarkt bör övervägas ,1,
 sinusrytm extrem vänster el - axel ospecifikt skänkelblock ,3,
 sinusrytm vänster el - axel eljest normalt ecg ,17,
 sinusrytm t - förändring såsom vid hög lateral myokardaffektion ,5,
 sinusrytm vänster el - axel st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ,1,
 sinusrytm vänster el - axel inkomplett högersidigt skänkelblock ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung inferiore ischämie oder linksbelastung ,1,
 sinusrytm st and t sänkning såsom vid lateral ischemi eller vänster belastning edit iscil sokolow xxxx ( iscil xxxx ) ,1,
 sinusrytm svårbestämmbar el - axel låga qrs amplituder i extremitetsavledningarna högersidigt skänkelblock ,1,
 sinusrytm p förlängd vänster el - axel vänster kammarhypertrofi ,1,
 sinusrhythmus qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,4,
 sinusrytm supraventrikulära extraslag eljest normalt ecg ,1,
 sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp anteroseptal infarkt möjligen färsk t - förändring såsom vid anterior myokardaffektion ,1,
 sinusrytm vänster el - axel vänstersidigt skänkelblock ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer med hög kammarfrekvens extrem vänster el - axel avvikande qrs ( t ) förlopp anterior infarkt möjligen färsk inferior infarkt sannolikt äldre st and t sänkning såsom vid hög lateral ischemi eller väns ,1,
 sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp anterior infarkt sannolikt äldre inferior infarkt sannolikt äldre ! ,1,
 sinusbradykardi låga qrs amplituder i extremitetsavledningarna t - förändring såsom vid anterior myokardaffektion ,1,
 sinusrytm p förlängd extrem vänster el - axel högersidigt skänkelblock ,1,
 slag med avvikande impulsutbredning supraventrikulär ( a ) extrasystoli ( er ) sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp anterior myokardskada inferior myokardskada ,1,
 sinusbradykardi amplitudkriterier för vänster kammarhypertrofi avvikande qrs ( t ) förlopp lateral myokardskada kan ej uteslutas ,2,
 sinusrytm högersidigt skänkelblock ,2,
 sinusbrsadykardie indiff typ t - veraenderungen negativ in iii flach v4 - v6 normales ecg ,1,
 sinusrhythmus ueberdrehter linkstyp rechtsschenkelblock ,3,
 sinusrhythmus qrs ( t ) abnormal anteroseptaler myokardschaden ,1,
 sinusrhythmus amplitudenkriterien f#r linkshypertrophie ,5,
 sinusrhythmus av block i intraventr leistungsstörung in v1 steillage t - veränderung neg in v4 v5 path ecg ,1,
 sinusrhythmus ueberdrehter linkstyp ,22,
 ventrikuläre extrasystole ( n ) sinus arrhythmie ,3,
 sinusrhythmus lagetyp normal normales ecg ,1264,
 sinusrhythmus lagetyp normal normal ,2,
 sinusrhythmus lagetyp normal vorhofsueberlastung wahrscheinlich unspez myokardschaedigung m rep stoerungen grenzbefund ,1,
 sinusrhythmus lagetyp normal av - block xxxx grades pathologisch ,2,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp vorhofsueberlastung links ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnormal normal ,1,
 sinusrhythmus indiff typ linkshypertrophie subakuter oder chron anteriorer infarkt möglich dd vorderwandaneurysma st - senkung in v4 - xxxx fehlende r - progression v2 - xxxx ,1,
 sinusbradykardie lagetyp normal schlechte r - progression v1 - xxxx st - hebung in v3 t neg in v2 ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block ecg normal ,1,
 sinusrhythmus av block i steillage anteriorer infarkt mit vorderwandaneurysma inferiorer infarkt pathologische repolarisation ,1,
 sinusbradykardie ueberdrehter linkstyp r - s #bergang in v ableitungen nach rechts verschoben lahb hohe spitze t in v2 - xxxx ,1,
 sinusbradykardie lagetyp normal qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus lagetyp normal unspezifisches abnormales t ,88,
 trace only requested ,343,
 sinusrhythmus p - sinistrocardiale ,2,
 supraventrikuläre extrasystole ( n ) sinusrhythmus periphere niederspannung unspezifisches abnormales t ,1,
 sinus arrhythmie rechtsschenkelblock ,1,
 ventrikuläre extrasystole ( n ) bigeminus sinusrhythmus ,1,
 sinusrhythmus rechtstyp sonst normales ecg ,27,
 sinusrhythmus linkstyp qt - verlängerung ,5,
 regelmässiger rhythmus keine p - welle erkannt rechtstyp linksposteriorer fascicular block ,1,
 sinus arrhythmie rechtstyp linksposteriorer fascicular block ,2,
 sinusrytm vänster el - axel st and t sänkning såsom vid anterolateral ischemi eller vänster belastning t - förändring såsom vid anterior myokardaffektion ,1,
 sinusbradykardi vänster el - axel eljest normalt ecg ,2,
 sinusbradykardi avvikande qrs ( t ) förlopp inferior myokardskada bör övervägas st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ,1,
 förmaksflimmer med hög kammarfrekvens vänster el - axel vänster kammarhypertrofi ,1,
 sinusrytm flacka t - vågor anterolateralt ,1,
 sinusrhythmus linkstyp unspezifische intraventrikuläre leitungsstörung ,5,
 sinusrhythmus unspezifische intraventrikuläre leitungsstörung ,14,
 sinusrhythmus ueberdrehter linkstyp r - s #bergang in v ableitungen nach links verschoben linksanteriorer fascicular block ,2,
 supraventrikulär ( a ) extrasystoli ( er ) supraventrikulär ( a ) escape complex ( s ) interpolerade supraventrikulär ( a ) extrasystoli ( er ) supraventrikulär tachykardi vänster el - axel st and t sänkning såsom vid anterior ischemi eller vänster belastning lateral ischemi ,1,
 sinusrytm ó¿ ó¬ st and t säó¬ning såsom vid ó½ ó½ inferior ischemi elleó¬vänster belastning ó© ó¬ ó½ ó½ ó¬ ó© ó¿ ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer - fladder vänster el - axel ospecifikt inkomplett skänkelblock vänster kammarhypertrofi ,1,
 sinusrytm avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,3,
 supraventrikulär ( a ) extrasystoli ( er ) supraventrikulär ( a ) escape complex ( s ) interpolerade supraventrikulär ( a ) extrasystoli ( er ) sinusrytm extrem vänster el - axel vänster anteriort fascicular block högersidigt skänkelblock bifascikulärt block avvikande qrs ( t ) förlopp ,2,
 sinustachykardi ospecifik t - förändring ,1,
 sinusrytm vänster el - axel ospecifik t - förändring ,6,
 slag med avvikande impulsutbredning sinustachykardi svårbestämmbar el - axel bröstavledningarnas r - s transition förskjuten åt vänster låga qrs amplituder i extremitetsavledningarna vänster anteriort fascicular block avvikande qrs ( t ) förlopp inferior infarkt ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus p - verbreiterung qrs ( t ) abnormal inferiorer myokardschaden nicht auszuschliessen st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,1,
 slag med avvikande impulsutbredning regelbunden rytm inga p - våg funna vänster el - axel ,1,
 sinusbradykardi inkomplett hgersidigt skänkelblock patologisk q - våg i avl såsom vid gammal hög lateral myokardskada ,1,
 sinusbradykardi extrem vänster el - axel vänster anteriort fascicular block vänster kammarhypertrofi ,1,
 sinusbradykardi extrem vänster el - axel vänster anteriort fascicular block st and t sänkning såsom vid anterolateral ischemi eller vänster belastning t - förändring såsom vid inferolateral myokardaffektion ,1,
 sinusrytm avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ! ,1,
 sinusbradykardi svårbestämmbar el - axel högersidigt skänkelblock ,1,
 sinusrytm vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar st and t sänkning såsom vid anterolateral ischemi eller vänster belastning ,2,
 sinusrytm vänster el - axel avvikande qrs ( t ) förlopp anterolateral infarkt bör övervägas inferior infarkt möjligen färsk ,1,
 sinusrytm bröstavledningarnas r - s transition förskjuten åt höger avvikande qrs ( t ) förlopp anteroseptal myokardskada kan ej uteslutas ,1,
 förmaksflimmer med hög kammarfrekvens extrem vänster el - axel vänstersidigt skänkelblock ,1,
 sinusrytm vänster el - axel måttliga amplitudkrit för vänster kammarkhypertrofi avvikande qrs ( t ) förlopp anterior infarkt möjligen färsk ,1,
 sinusrytm extrem vänster el - axel vänster anteriort fascicular block st and t sänkning såsom vid inferolateral ischemi eller vänster belastning ,1,
 sinusrytm extrem vänster el - axel vänster anteriort fascicular block ,3,
 sinusrytm ospecifik st and t förändring ( höjning ) eljest normalt ecg ,1,
 sinusrytm av block i ospecifik st - förändring ospecifik t - förändring ,1,
 sinustachykardi av block i misstänkt vänster kammarhypertrofi ,1,
 sinusrytm st and t sänkning såsom vid anterolateral ischemi eller vänster belastning inferolateral ischemi eller vänster belastning ,4,
 sinusrytm misstänkt hypertrofi av vänster förmak avvikande qrs ( t ) förlopp anteroseptal infarkt sannolikt äldre ,1,
 sinusrytm avvikande qrs ( t ) förlopp inferior myokardskada bör övervägas qt förlängd ,1,
 supraventrikulär ( a ) extrasystoli ( er ) sinusrytm extrem vänster el - axel bröstavledningarnas r - s transition förskjuten åt höger inkomplett högersidigt skänkelblock avvikande qrs ( t ) förlopp inferior infarkt möjligen färsk st sänkning möjligen orsak ,1,
 sinusrytm avvikande qrs ( t ) förlopp inferior myokardskada ,1,
 sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt möjligen färsk st sänkning möjligen orsakad av lateral subendokardiell myokardaffektion ,1,
 sinus arytmi måttliga amplitudkrit för vänster kammarkhypertrofi st and t sänkning såsom vid anterolateral ischemi eller vänster belastning t - förändring såsom vid anterior myokardaffektion inferolateral myokardaffektion ,1,
 sinusrytm vänster el - axel låga qrs amplituder i extremitetsavledningarna avvikande qrs ( t ) förlopp anteroseptal infarkt ålder ej bestämmbar inferior myokardskada bör övervägas st sänkning möjligen orsakad av hög lateral subendokardiell myokar ,1,
 sinusrytm extrem vänster el - axel såsom vid vänster främre fascicular block liten q - våg i v2 - v3 inger misstanke på gammal anteroseptal myokardskada st and t förändring lateralt såsom vid ischemi eller vänster kammarbelastning ,1,
 sinusrytm vänster kammarhypertrofi avvikande qrs ( t ) förlopp anterolateral myokardskada bör övervägas ,1,
 regelbunden rytm inga p - våg funna ,1,
 sinusrytm extrem vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt sannolikt äldre t - förändring såsom vid anterior myokardaffektion lateral myokardaffektion ,1,
 sinusrytm vänster el - axel st and t sänkning såsom vid anterior ischemi eller vänster belastning lateral ischemi eller vänster belastning ,1,
 sinusrytm måttliga amplitudkrit för vänster kammarkhypertrofi ospecifik st and t förändring ( höjning ) ,1,
 sinustachykardi hypertrofi av vänster förmak vänster el - axel ospecifikt skänkelblock vänster kammarhypertrofi ,1,
 sinusrytm misstänkt hypertrofi av vänster förmak ospecifikt skänkelblock vänster kammarhypertrofi avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,2,
 sinusrytm vänster el - axel intraventrikulärt retledningshinder ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer - fladder extrem höger el - axel vänster posteriort fascicular block högersidigt skänkelblock bifascikulärt block avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,1,
 sinustachykardi eljest normalt ecg ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal ,57,
 sinustachykardi avvikande qrs ( t ) förlopp hög lateral infarkt bör övervägas ,1,
 sinusrytm av block i extrem vänster el - axel ospecifikt skänkelblock vänster kammarhypertrofi ! ,1,
 sinusrytm hypertrofi av vänster förmak avvikande qrs ( t ) förlopp inferior myokardskada bör övervägas st and t sänkning såsom vid hög lateral ischemi eller vänster belastning ,1,
 sinusrytm ventrikulära extraslag av - block i ,1,
 sinusrytm av block i ,1,
 förmaksflimmer - fladder t - förändring såsom vid inferior myokardaffektion ,1,
 sinusrytm avvikande qrs ( t ) förlopp inferior myokardskada kan ej uteslutas ,2,
 sinusrytm vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt bör övervägas ,1,
 sinusrytm av block i vänster el - axel avvikande qrs ( t ) förlopp anterior infarkt ålder ej bestämmbar st and t sänkning såsom vid hög lateral ischemi eller vänster belastning ,1,
 sinusrytm avvikande qrs ( t ) förlopp anterior infarkt bör övervägas t - förändring såsom vid lateral myokardaffektion inferolateral myokardaffektion ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock sonst normales ecg ,54,
 sinusrhythmus p - sinistrocardiale lagetyp normal r - s #bergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock ,1,
 sinus arrhythmie lagetyp normal sonst normales ecg ,75,
 sinusbradykardie unspezifische intraventrikuläre leitungsstörung ,3,
 sinusrhythmus lagetyp normal unspezifisches abnormes t ,38,
 sinusrhythmus verdacht auf p - sinistrocardiale unvollständiger rechtsschenkelblock ,1,
 sinusrhythmus lagetyp normal sonst normales ecg ,4,
 sinusrhythmus linkstyp unvollständiger rechtsschenkelblock sonst normales ecg ,8,
 sinusrhythmus linkstyp qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt möglich ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unvollständiger rechtsschenkelblock ,3,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block pathologisch ,2,
 sinusrhythmus rechtstyp rechtsschenkelblock pathologisch ,1,
 sinusrhythmus ueberdrehter linkstyp schenkelblock partiell links ant fascicular block pathologisch ,1,
 sinusrhythmus linkstyp schenkelblock partiell rechts ant fascicular block pathologisch ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp linksschenkelblock pathologisch ,1,
 unregelmässiger rhythmus keine p - welle erkannt vorhofflattern st and t abnormal möglicherweise neuer inferiorer myokard - oder perikardschaden pathologisch ,1,
 sinusbradykardie lagetyp normal qrs ( t ) abnormal normal ,2,
 sinusrhythmus qrs ( t ) abnormal inferiorer myokardschaden nicht auszuschliessen ,4,
 sinusrhythmus linkstyp unvollständiger rechtsschenkelblock t neg in v2 - xxxx ,1,
 ventrikuläre extrasystole ( n ) sinustachykardie linkstyp r - s #bergang in v ableitungen nach rechts verschoben unspezifisches abnormes t ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,5,
 sinusrhythmus st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung ,1,
 sinusrhythmus ueberdrehter linkstyp linksschenkelblock path repol ,1,
 sinusrhythmus pathologische repolarisation linkstyp pathologisches ecg ,1,
 sinustachykardie linkslagetyp intraventr leitungsstörung v2 avr i pathologisches ecg ,1,
 sinusrhythmus ueberdrehter linkstyp t abnorm in hochlateralen ableitungen ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen ,10,
 supraventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal sonst normales ecg ,3,
 sinusrhythmus av block i linkstyp qrs ( t ) abnormal septaler infarkt nicht auszuschliessen inferiorer infarkt wahrscheinlich alt ,1,
 sinusrhythmus lagetyp normal r - s #bergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock qrs ( t ) abnormal hochlateraler infarkt möglich ,2,
 sinus arrhythmie p - verbreiterung lagetyp normal ,1,
 sinusrhythmus linkstyp unvollständiger rechtsschenkelblock qrs ( t ) abnorm lateraler myokardschaden möglich ,1,
 resp sinusarrhythmie llt normales ecg ,1,
 sinusrhythmus normales ecg av block i rhythm ob ,1,
 trace only requested edit imi xxxx ,1,
 sinusrhythmus lagetyp normal t abnorm in inferioren ableitungen ,7,
 sinusrhythmus linkstyp qrs ( t ) abnormal septaler infarkt nicht auszuschliessen ,2,
 sinusrhythmus linkstyp qrs ( t ) abnormal anterolateraler infarkt möglich ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen ,1,
 sinusrhythmus rechtstyp ,1,
 förmaksflimmer ventrikulära extraslag gammal anteroseptal myokardskada misstänkt hög lateral myokardskada st and t förändring anterolateralt och inferolateralt såsom vid ischemi vänster kammarbelastning eller digitalis - påverkan ,1,
 sinusbradykardi extrem vänster el - axel såsom vid vänster främre fascicular block ,1,
 sinustachykardi avvikande qrs ( t ) förlopp anteroseptal infarkt sannolikt äldre ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp r - s #bergang in v ableitungen nach rechts verschoben ,1,
 supraventrikuläre tachykardie rechtstyp linksposteriorer fascicular block st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,1,
 sinusrhythmus lagetyp normal r - s #bergang in v ableitungen nach rechts verschoben sonst normales ecg ,5,
 sinusbradykardie lagetyp normal sonst normales ecg ,34,
 sinusrhythmus mässige amplitudenkriterien f#r linkshypertrophie ,7,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt ,1,
 av - knotenrhythmus ,1,
 supraventrikuläre extrasystole ( n ) sinus arrhythmie linkstyp unvollständiger rechtsschenkelblock unspezifisch abnormes st and t ( hebung ) sonst normales ecg ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal ,33,
 ventrikuläre extrasystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich ,1,
 sinusrytm ventrikulära extraslag t - förändring v5 - v6 samt avl och i såsom vid lateral subendokardiell myokardaffektion ålder ej bestämbar ,1,
 sinusrytm misstänkt hypertrofi av vänster förmak vänster el - axel vänstersidigt skänkelblock ,2,
 sinusrytm p förlängd vänster el - axel avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar ,1,
 sinusrytm extrem vänster el - axel ospecifikt inkomplett skänkelblock avvikande qrs ( t ) förlopp anteroseptal infarkt sannolikt äldre inferior infarkt sannolikt äldre st and t sänkning såsom vid hög lateral ischemi eller vänster belastning ,1,
 sinusrytm av block i p förlängd ospecifik t - förändring ! ,1,
 sinusrytm misstänkt hypertrofi av vänster förmak t - förändring antero - infero lateralt såsom vid subendokardiell myokardaffektion ålder ej bestämbar ,1,
 sinusrytm avvikande qrs ( t ) förlopp septal infarkt kan ej uteslutas ,1,
 sinusrytm ventrikulära extraslag inget säkert patologiskt ,1,
 sinusrytm extrem vänster el - axel vänstersidigt skänkelblock ,4,
 sinusrytm misstänkt hypertrofi av vänster förmak ospecifikt skänkelblock ,2,
 sinusrytm avvikande qrs ( t ) förlopp inferior infarkt bör övervägas ,1,
 ventrikulär ( a ) extrasystoli ( er ) interpolerade ventrikulär ( a ) extrasystoli ( er ) sinustachykardi misstänkt vänster kammarhypertrofi ,1,
 sinusrytm t - förändring såsom vid lateral myokardaffektion qt förlängd ,1,
 förmaksflimmer - fladder vänster el - axel ospecifikt skänkelblock misstänkt vänster kammarhypertrofi avvikande qrs ( t ) förlopp anteroseptal myokardskada kan ej uteslutas ,1,
 sinusrytm bröstavledningarnas r - s transition förskjuten åt höger avvikande qrs ( t ) förlopp inferior infarkt ålder ej bestämmbar t - förändring såsom vid anterolateral myokardaffektion ,1,
 sinusbradykardi misstänkt vänster kammarhypertrofi avvikande qrs ( t ) förlopp anterior infarkt ålder ej bestämmbar hög lateral infarkt bör övervägas ,1,
 sinusrytm vänster el - axel gammal inferior infarkt abnorm r - progression v1 - v3 med patologisk låg r i v3 såsom vid gammal anteroseptal myokardskada ,1,
 sinusrytm intraventrikulärt retledningshinder ,2,
 supraventrikulär ( a ) extrasystoli ( er ) interpolerade supraventrikulär ( a ) extrasystoli ( er ) sinusrytm extrem vänster el - axel vänster anteriort fascicular block högersidigt skänkelblock bifascikulärt block avvikande qrs ( t ) förlopp anteroseptal myokardskada bör öve ,1,
 ventrikulär ( a ) extrasystoli ( er ) förmaksflimmer - fladder st and t sänkning såsom vid anterolateral ischemi eller vänster belastning inferolateral ischemi eller vänster belastning ,1,
 sinusrytm höger el - axel avvikande qrs ( t ) förlopp anterior infarkt ålder ej bestämmbar ,1,
 sinusrytm avvikande qrs ( t ) förlopp anterior infarkt sannolikt äldre inferior infarkt bör övervägas ,1,
 ventrikulär ( a ) extrasystoli ( er ) supraventrikulär ( a ) extrasystoli ( er ) sinustachykardi extrem vänster el - axel ospecifikt inkomplett skänkelblock vänster kammarhypertrofi ,1,
 sinusrytm extrem vänster el - axel vänster anteriort fascicular block inkomplett högersidigt skänkelblock ,1,
 sinusrytm p förlängd vänster el - axel t - förändring såsom vid inferior myokardaffektion ,1,
 sinus arytmi vänster el - axel litet intraventrikulärt retledningshinder ,1,
 sinusrytm misstänkt hypertrofi av vänster förmak t - förändring såsom vid anterolateral myokardaffektion inferolateral myokardaffektion ,1,
 sinusrytm högersidigt skänkelblock avvikande qrs ( t ) förlopp anterior infarkt sannolikt äldre hög lateral infarkt bör övervägas inferior myokardskada kan ej uteslutas edit asmi xxxx lmi xxxx crbbb ( asmi xxxx crbbb ) ,1,
 förmaksflimmer med hög kammarfrekvens utbredda st - sänkningar anteriort lateralt och inferiort såsom vid pågående ischemi nytillkommit sedan xxxx ,1,
 sinusrytm gammal inferior infarkt lätta st and t förändringar anterolateralt såsom vid ischemi eller vänster kammar - belastning ,1,
 sinus arytmi ospecifik t - förändring ,1,
 sinusrhythmus linkstyp keine anzeichen fuer le langsame r - progression v1 - xxxx normales ecg ,1,
 sinusrytm supraventrikulära extraslag extrem vänster el - axel ospecifikt skänkelblock gammal anteroseptal myokardskada gammal hög lateral myokardskada ,1,
 sinusrytm extrem vänster el - axel gammal anteroseptal infarkt st and t förändringar anterolateralt och inferolateralt såsom vid ischemi vänster kammarbelastning eller digitalispåverkan ,1,
