record_id,native_label_length,native_lead_min_length,native_lead_max_length,corrected_length,duration_seconds,active_signal_duration_seconds,annotation_coverage_duration_seconds,tail_padding_seconds,n_qrs,median_rr_ms,median_qrs_duration_ms,unlabeled_fraction,p_fraction,qrs_fraction,t_fraction,beat_ids_monotonic,qrs_ids_contiguous,one_qrs_occurrence_per_beat,signal_label_lengths_match_native
744192,20000,20000,20000,5000,10.0,10.0,2.254,0.0,3,862.5,90.0,0.8826,0.0212,0.0328,0.0634,True,True,True,True
744657,20000,20000,20000,5000,10.0,10.0,2.266,0.0,4,422.0,118.0,0.8562,0.0182,0.0464,0.0792,True,True,True,True
745450,20000,20000,20000,5000,10.0,10.0,2.828,0.0,4,807.0,125.0,0.8164,0.0386,0.0502,0.0948,True,True,True,True
745648,20000,20000,20000,5000,10.0,10.0,2.06,0.0,3,751.5,98.0,0.881,0.019,0.031,0.069,True,True,True,True
757870,20000,20000,20000,5000,10.0,10.0,3.0,0.0,5,657.0,146.0,0.81,0.024,0.0642,0.1018,True,True,True,True
757884,20000,20000,20000,5000,10.0,10.0,2.264,0.0,3,842.0,92.0,0.8782,0.021,0.0354,0.0654,True,True,True,True
760212,20000,20000,20000,5000,10.0,10.0,1.592,0.0,3,550.0,94.0,0.8798,0.034,0.0314,0.0548,True,True,True,True
760568,20000,20000,20000,5000,10.0,10.0,2.21,0.0,4,588.0,85.0,0.8802,0.0252,0.0396,0.055,True,True,True,True
762585,20000,20000,20000,5000,10.0,10.0,2.046,0.0,3,740.5,118.0,0.8658,0.0236,0.0458,0.0648,True,True,True,True
762912,20000,20000,20000,5000,10.0,10.0,2.646,0.0,5,566.0,136.0,0.8242,0.019,0.0698,0.087,True,True,True,True
763536,20000,20000,20000,5000,10.0,10.0,1.788,0.0,3,635.5,96.0,0.8778,0.021,0.0314,0.0698,True,True,True,True
763863,20000,20000,20000,5000,10.0,10.0,2.19,0.0,3,810.0,92.0,0.883,0.0222,0.0332,0.0616,True,True,True,True
763975,20000,20000,20000,5000,10.0,10.0,1.97,0.0,3,730.5,88.0,0.8828,0.0254,0.03,0.0618,True,True,True,True
765410,20000,20000,20000,5000,10.0,10.0,1.966,0.0,3,643.5,86.0,0.8748,0.025,0.0322,0.068,True,True,True,True
766507,20000,20000,20000,5000,10.0,10.0,1.93,0.0,3,731.0,102.0,0.893,0.019,0.0366,0.0514,True,True,True,True
766688,20000,20000,20000,5000,10.0,10.0,4.848,0.0,6,862.0,99.0,0.761,0.0376,0.0674,0.134,True,True,True,True
767156,20000,20000,20000,5000,10.0,10.0,2.184,0.0,3,780.0,96.0,0.8888,0.0186,0.0324,0.0602,True,True,True,True
767643,20000,20000,20000,5000,10.0,10.0,2.562,0.0,6,304.0,125.0,0.8132,0.018,0.0732,0.0956,True,True,True,True
770123,20000,20000,20000,5000,10.0,10.0,2.184,0.0,3,821.0,82.0,0.8724,0.035,0.0272,0.0654,True,True,True,True
777221,20000,20000,20000,5000,10.0,10.0,2.772,0.0,5,573.0,154.0,0.8004,0.024,0.0702,0.1054,True,True,True,True
777318,20000,20000,20000,5000,10.0,10.0,1.846,0.0,4,535.0,107.0,0.8694,0.021,0.0426,0.067,True,True,True,True
777461,20000,20000,20000,5000,10.0,10.0,2.51,0.0,3,911.0,104.0,0.846,0.0276,0.0366,0.0898,True,True,True,True
778062,20000,20000,20000,5000,10.0,10.0,1.762,0.0,3,601.0,98.0,0.8778,0.0242,0.0336,0.0644,True,True,True,True
778240,20000,20000,20000,5000,10.0,10.0,3.224,0.0,6,374.0,145.0,0.7766,0.0262,0.0812,0.116,True,True,True,True
778335,20000,20000,20000,5000,10.0,10.0,2.022,0.0,4,647.0,90.0,0.878,0.0224,0.0358,0.0638,True,True,True,True
778448,20000,20000,20000,5000,10.0,10.0,2.24,0.0,3,809.5,120.0,0.8642,0.031,0.0422,0.0626,True,True,True,True
778725,20000,20000,20000,5000,10.0,10.0,3.18,0.0,4,845.0,113.0,0.8332,0.0334,0.0486,0.0848,True,True,True,True
779381,20000,20000,20000,5000,10.0,10.0,3.652,0.0,6,629.0,115.0,0.813,0.0252,0.0694,0.0924,True,True,True,True
779858,20000,20000,20000,5000,10.0,10.0,2.048,0.0,3,759.5,90.0,0.8992,0.0174,0.031,0.0524,True,True,True,True
779926,20000,20000,20000,5000,10.0,10.0,3.608,0.0,5,753.0,128.0,0.8028,0.0334,0.0624,0.1014,True,True,True,True
781651,20000,20000,20000,5000,10.0,10.0,2.366,0.0,3,861.0,136.0,0.8792,0.022,0.0398,0.059,True,True,True,True
781708,20000,20000,20000,5000,10.0,10.0,2.77,0.0,5,553.5,122.0,0.8392,0.0162,0.0556,0.089,True,True,True,True
781873,20000,20000,20000,5000,10.0,10.0,3.064,0.0,5,603.0,100.0,0.819,0.0282,0.0604,0.0924,True,True,True,True
782266,20000,20000,20000,5000,10.0,10.0,3.45,0.0,6,630.0,123.0,0.7876,0.034,0.073,0.1054,True,True,True,True
786873,20000,20000,20000,5000,10.0,10.0,3.184,0.0,5,725.5,114.0,0.839,0.0404,0.058,0.0626,True,True,True,True
787045,20000,20000,20000,5000,10.0,10.0,3.232,0.0,5,782.5,102.0,0.8304,0.0298,0.0544,0.0854,True,True,True,True
789853,20000,20000,20000,5000,10.0,10.0,2.41,0.0,4,478.0,129.0,0.861,0.0172,0.0518,0.07,True,True,True,True
790920,20000,20000,20000,5000,10.0,10.0,2.332,0.0,3,876.0,94.0,0.8848,0.0216,0.0336,0.06,True,True,True,True
791097,20000,20000,20000,5000,10.0,10.0,2.908,0.0,5,592.5,122.0,0.8232,0.0244,0.0682,0.0842,True,True,True,True
791296,20000,20000,20000,5000,10.0,10.0,2.224,0.0,3,784.5,98.0,0.8808,0.025,0.036,0.0582,True,True,True,True
792062,20000,20000,20000,5000,10.0,10.0,3.692,0.0,5,795.5,94.0,0.8004,0.0314,0.0564,0.1118,True,True,True,True
792403,20000,20000,20000,5000,10.0,10.0,2.342,0.0,3,885.5,108.0,0.8878,0.02,0.0338,0.0584,True,True,True,True
793530,20000,20000,20000,5000,10.0,10.0,2.12,0.0,3,798.0,108.0,0.8842,0.0196,0.0372,0.059,True,True,True,True
805788,20000,20000,20000,5000,10.0,10.0,3.702,0.0,5,782.5,104.0,0.815,0.0326,0.0604,0.092,True,True,True,True
805885,20000,20000,20000,5000,10.0,10.0,4.674,0.0,7,600.0,102.0,0.7286,0.0426,0.0812,0.1476,True,True,True,True
808536,20000,20000,20000,5000,10.0,10.0,2.346,0.0,4,566.0,122.0,0.8492,0.0218,0.049,0.08,True,True,True,True
809339,20000,20000,20000,5000,10.0,10.0,4.066,0.0,6,721.0,88.0,0.7788,0.057,0.0532,0.111,True,True,True,True
809442,20000,20000,20000,5000,10.0,10.0,1.542,0.0,3,510.0,102.0,0.9062,0.0192,0.0348,0.0398,True,True,True,True
810079,20000,20000,20000,5000,10.0,10.0,2.106,0.0,3,774.5,104.0,0.886,0.023,0.0366,0.0544,True,True,True,True
810553,20000,20000,20000,5000,10.0,10.0,2.556,0.0,3,959.5,144.0,0.8712,0.0222,0.0444,0.0622,True,True,True,True
810713,20000,20000,20000,5000,10.0,10.0,1.946,0.0,3,679.0,96.0,0.893,0.0212,0.0348,0.051,True,True,True,True
810867,20000,20000,20000,5000,10.0,10.0,2.226,0.0,4,525.0,123.0,0.8794,0.0208,0.05,0.0498,True,True,True,True
811736,20000,20000,20000,5000,10.0,10.0,2.776,0.0,4,692.0,112.0,0.8564,0.0292,0.0444,0.07,True,True,True,True
812967,20000,20000,20000,5000,10.0,10.0,2.094,0.0,3,774.0,96.0,0.8964,0.0216,0.0336,0.0484,True,True,True,True
813395,20000,20000,20000,5000,10.0,10.0,5.576,0.0,9,631.5,136.0,0.7272,0.021,0.0994,0.1524,True,True,True,True
813999,20000,20000,20000,5000,10.0,10.0,2.324,0.0,3,889.5,120.0,0.889,0.0212,0.0382,0.0516,True,True,True,True
822003,20000,20000,20000,5000,10.0,10.0,2.156,0.0,3,813.0,96.0,0.8942,0.0202,0.0356,0.05,True,True,True,True
822228,20000,20000,20000,5000,10.0,10.0,2.71,0.0,5,553.5,102.0,0.8388,0.0288,0.0578,0.0746,True,True,True,True
823540,20000,20000,20000,5000,10.0,10.0,2.7,0.0,3,1006.0,100.0,0.8864,0.0192,0.0364,0.058,True,True,True,True
824020,20000,20000,20000,5000,10.0,10.0,2.316,0.0,3,859.5,136.0,0.8822,0.0236,0.0426,0.0516,True,True,True,True
825432,20000,20000,20000,5000,10.0,10.0,2.068,0.0,3,763.0,112.0,0.892,0.0208,0.0372,0.05,True,True,True,True
826564,20000,20000,20000,5000,10.0,10.0,2.926,0.0,4,763.0,77.0,0.85,0.0372,0.0354,0.0774,True,True,True,True
827868,20000,20000,20000,5000,10.0,10.0,4.824,0.0,8,652.0,140.0,0.7316,0.0308,0.1044,0.1332,True,True,True,True
829049,20000,20000,20000,5000,10.0,10.0,1.82,0.0,3,654.0,148.0,0.8808,0.0142,0.044,0.061,True,True,True,True
831663,20000,20000,20000,5000,10.0,10.0,4.104,0.0,7,562.5,94.0,0.7418,0.0372,0.0832,0.1378,True,True,True,True
832701,20000,20000,20000,5000,10.0,10.0,2.322,0.0,5,439.0,108.0,0.8298,0.0202,0.0588,0.0912,True,True,True,True
833657,20000,20000,20000,5000,10.0,10.0,1.842,0.0,3,660.0,110.0,0.8744,0.0222,0.0384,0.065,True,True,True,True
833884,20000,20000,20000,5000,10.0,10.0,1.326,0.0,3,420.0,80.0,0.9056,0.0124,0.0288,0.0532,True,True,True,True
833965,20000,20000,20000,5000,10.0,10.0,2.12,0.0,4,487.0,118.0,0.834,0.0196,0.0464,0.1,True,True,True,True
834075,20000,20000,20000,5000,10.0,10.0,1.884,0.0,3,670.0,94.0,0.8736,0.022,0.0336,0.0708,True,True,True,True
834629,20000,20000,20000,5000,10.0,10.0,2.048,0.0,3,737.0,112.0,0.864,0.0274,0.0364,0.0722,True,True,True,True
835287,20000,20000,20000,5000,10.0,10.0,2.148,0.0,3,805.5,106.0,0.87,0.0252,0.0352,0.0696,True,True,True,True
836510,20000,20000,20000,5000,10.0,10.0,1.85,0.0,3,686.0,100.0,0.887,0.0194,0.0356,0.058,True,True,True,True
837563,20000,20000,20000,5000,10.0,10.0,1.648,0.0,4,438.0,104.0,0.8768,0.0,0.0416,0.0816,True,True,True,True
837656,20000,20000,20000,5000,10.0,10.0,2.754,0.0,5,591.5,164.0,0.8012,0.0124,0.0724,0.114,True,True,True,True
838811,20000,20000,20000,5000,10.0,10.0,1.996,0.0,4,404.0,100.0,0.8644,0.0192,0.0398,0.0766,True,True,True,True
838955,20000,20000,20000,5000,10.0,10.0,4.94,0.0,13,322.0,150.0,0.5838,0.0194,0.19,0.2068,True,True,True,True
839103,20000,20000,20000,5000,10.0,10.0,1.956,0.0,3,700.5,110.0,0.8762,0.0216,0.0352,0.067,True,True,True,True
839361,20000,20000,20000,5000,10.0,10.0,3.73,0.0,6,610.0,113.0,0.7496,0.046,0.0716,0.1328,True,True,True,True
839738,20000,20000,20000,5000,10.0,10.0,2.982,0.0,4,691.0,142.0,0.8134,0.0242,0.0574,0.105,True,True,True,True
840221,20000,20000,20000,5000,10.0,10.0,3.782,0.0,9,381.0,124.0,0.6988,0.0106,0.1086,0.182,True,True,True,True
840297,20000,20000,20000,5000,10.0,10.0,3.862,0.0,6,455.0,117.0,0.7766,0.0294,0.0688,0.1252,True,True,True,True
841624,20000,20000,20000,5000,10.0,10.0,2.914,0.0,5,607.5,94.0,0.821,0.0298,0.052,0.0972,True,True,True,True
842383,20000,20000,20000,5000,10.0,10.0,1.718,0.0,3,570.0,96.0,0.8768,0.023,0.0352,0.065,True,True,True,True
843936,20000,20000,20000,5000,10.0,10.0,1.94,0.0,3,723.5,134.0,0.864,0.0216,0.0454,0.069,True,True,True,True
844653,20000,20000,20000,5000,10.0,10.0,2.094,0.0,3,760.0,118.0,0.8634,0.0234,0.0398,0.0734,True,True,True,True
846157,20000,20000,20000,5000,10.0,10.0,2.6,0.0,6,476.0,104.0,0.8194,0.0104,0.0596,0.1106,True,True,True,True
846421,20000,20000,20000,5000,10.0,10.0,2.166,0.0,3,779.0,110.0,0.8428,0.0292,0.0412,0.0868,True,True,True,True
846909,20000,20000,20000,5000,10.0,10.0,2.448,0.0,5,488.5,114.0,0.8406,0.0244,0.0576,0.0774,True,True,True,True
847596,20000,20000,20000,5000,10.0,10.0,2.544,0.0,5,429.5,132.0,0.81,0.02,0.061,0.109,True,True,True,True
848517,20000,20000,20000,5000,10.0,10.0,1.664,0.0,3,594.5,102.0,0.8868,0.0206,0.0344,0.0582,True,True,True,True
848545,20000,20000,20000,5000,10.0,10.0,1.648,0.0,3,574.5,98.0,0.8884,0.0222,0.0344,0.055,True,True,True,True
848620,20000,20000,20000,5000,10.0,10.0,2.052,0.0,3,764.0,106.0,0.888,0.019,0.0314,0.0616,True,True,True,True
849027,20000,20000,20000,5000,10.0,10.0,1.824,0.0,3,674.5,102.0,0.888,0.0228,0.0336,0.0556,True,True,True,True
851385,20000,20000,20000,5000,10.0,10.0,1.844,0.0,3,675.0,96.0,0.8818,0.023,0.0328,0.0624,True,True,True,True
851601,20000,20000,20000,5000,10.0,10.0,1.332,0.0,3,440.0,96.0,0.8932,0.0188,0.0308,0.0572,True,True,True,True
852061,20000,20000,20000,5000,10.0,10.0,2.11,0.0,4,501.0,119.0,0.825,0.0234,0.0466,0.105,True,True,True,True
852357,20000,20000,20000,5000,10.0,10.0,2.008,0.0,3,731.0,96.0,0.8868,0.0226,0.0322,0.0584,True,True,True,True
852429,20000,20000,20000,5000,10.0,10.0,2.678,0.0,4,500.0,111.0,0.843,0.0192,0.0446,0.0932,True,True,True,True
855066,20000,20000,20000,5000,10.0,10.0,2.814,0.0,6,472.0,136.0,0.7958,0.0,0.0718,0.1324,True,True,True,True
855185,20000,20000,20000,5000,10.0,10.0,2.194,0.0,3,792.0,120.0,0.8618,0.0258,0.0402,0.0722,True,True,True,True
855203,20000,20000,20000,5000,10.0,10.0,1.702,0.0,3,588.0,104.0,0.8706,0.0218,0.0374,0.0702,True,True,True,True
855840,20000,20000,20000,5000,10.0,10.0,2.962,0.0,5,638.0,144.0,0.8104,0.0214,0.0616,0.1066,True,True,True,True
856319,20000,20000,20000,5000,10.0,10.0,1.862,0.0,3,663.0,110.0,0.873,0.0288,0.0336,0.0646,True,True,True,True
858661,20000,20000,20000,5000,10.0,10.0,5.688,0.0,11,533.5,138.0,0.5934,0.0208,0.1444,0.2414,True,True,True,True
859568,20000,20000,20000,5000,10.0,10.0,2.79,0.0,4,559.0,128.0,0.8354,0.021,0.053,0.0906,True,True,True,True
860162,20000,20000,20000,5000,10.0,10.0,2.45,0.0,3,909.5,112.0,0.8704,0.0228,0.0364,0.0704,True,True,True,True
861217,20000,20000,20000,5000,10.0,10.0,1.944,0.0,3,703.0,96.0,0.8898,0.0176,0.0296,0.063,True,True,True,True
861318,20000,20000,20000,5000,10.0,10.0,2.13,0.0,3,853.0,128.0,0.878,0.0108,0.0358,0.0754,True,True,True,True
861359,20000,20000,20000,5000,10.0,10.0,5.822,0.0,10,499.0,149.0,0.6306,0.025,0.1396,0.2048,True,True,True,True
861583,20000,20000,20000,5000,10.0,10.0,1.924,0.0,3,709.0,118.0,0.8758,0.0224,0.04,0.0618,True,True,True,True
861759,20000,20000,20000,5000,10.0,10.0,1.746,0.0,3,600.0,114.0,0.8806,0.0206,0.0374,0.0614,True,True,True,True
862892,20000,20000,20000,5000,10.0,10.0,2.108,0.0,3,759.5,124.0,0.8656,0.021,0.041,0.0724,True,True,True,True
864337,20000,20000,20000,5000,10.0,10.0,2.046,0.0,3,746.0,134.0,0.8698,0.0234,0.0434,0.0634,True,True,True,True
864482,20000,20000,20000,5000,10.0,10.0,1.732,0.0,3,603.5,96.0,0.8806,0.0226,0.0338,0.063,True,True,True,True
864704,20000,20000,20000,5000,10.0,10.0,1.67,0.0,3,563.5,106.0,0.8896,0.0186,0.034,0.0578,True,True,True,True
865441,20000,20000,20000,5000,10.0,10.0,2.07,0.0,3,775.5,108.0,0.881,0.0242,0.0338,0.061,True,True,True,True
865580,20000,20000,20000,5000,10.0,10.0,1.9,0.0,3,642.0,130.0,0.8732,0.0202,0.0372,0.0694,True,True,True,True
865749,20000,20000,20000,5000,10.0,10.0,1.718,0.0,3,608.0,110.0,0.8836,0.0218,0.0364,0.0582,True,True,True,True
865891,20000,20000,20000,5000,10.0,10.0,1.942,0.0,3,712.5,110.0,0.8832,0.0224,0.0348,0.0596,True,True,True,True
866682,20000,20000,20000,5000,10.0,10.0,3.154,0.0,5,722.0,126.0,0.7954,0.0376,0.0614,0.1056,True,True,True,True
866996,20000,20000,20000,5000,10.0,10.0,1.45,0.0,3,513.5,136.0,0.8854,0.007,0.0398,0.0678,True,True,True,True
868445,20000,20000,20000,5000,10.0,10.0,3.986,0.0,8,466.0,126.0,0.705,0.0214,0.0932,0.1804,True,True,True,True
868553,20000,20000,20000,5000,10.0,10.0,2.2,0.0,3,815.5,102.0,0.8868,0.0228,0.0334,0.057,True,True,True,True
869487,20000,20000,20000,5000,10.0,10.0,1.736,0.0,3,628.0,86.0,0.888,0.0204,0.0306,0.061,True,True,True,True
869763,20000,20000,20000,5000,10.0,10.0,1.848,0.0,3,646.5,104.0,0.8724,0.022,0.0346,0.071,True,True,True,True
869956,20000,20000,20000,5000,10.0,10.0,2.028,0.0,3,740.5,94.0,0.8822,0.0238,0.031,0.063,True,True,True,True
870092,20000,20000,20000,5000,10.0,10.0,1.776,0.0,3,611.0,114.0,0.8732,0.0218,0.0386,0.0664,True,True,True,True
871373,20000,20000,20000,5000,10.0,10.0,2.296,0.0,4,478.0,122.0,0.839,0.0208,0.0484,0.0918,True,True,True,True
872336,20000,20000,20000,5000,10.0,10.0,2.138,0.0,3,790.0,90.0,0.8904,0.0184,0.0324,0.0588,True,True,True,True
872987,20000,20000,20000,5000,10.0,10.0,1.838,0.0,3,617.5,126.0,0.8752,0.0252,0.0396,0.06,True,True,True,True
873791,20000,20000,20000,5000,10.0,10.0,1.858,0.0,3,667.5,90.0,0.89,0.0234,0.0314,0.0552,True,True,True,True
874164,20000,20000,20000,5000,10.0,10.0,1.782,0.0,5,329.0,136.0,0.85,0.0126,0.0632,0.0742,True,True,True,True
875326,20000,20000,20000,5000,10.0,10.0,2.848,0.0,4,448.0,131.0,0.8288,0.036,0.0538,0.0814,True,True,True,True
875515,20000,20000,20000,5000,10.0,10.0,2.156,0.0,3,798.0,100.0,0.8804,0.0226,0.036,0.061,True,True,True,True
875558,20000,20000,20000,5000,10.0,10.0,2.108,0.0,4,427.0,122.0,0.8542,0.0292,0.0476,0.069,True,True,True,True
875993,20000,20000,20000,5000,10.0,10.0,1.74,0.0,3,612.5,82.0,0.8922,0.0236,0.029,0.0552,True,True,True,True
